id,created_at,author_id,text,referenced_tweets.retweeted.id,public_metrics.like_count
1456423720759742478,2021-11-05T00:50:48.000Z,77236681,God: you lay eggs.\n\nPlatypus: like a reptile?\n\nGod: yes but you aren’t a reptile.\n\nPlatypus: oh.\n\nGod: and you’re venomous. \n\nPlatypus: [happy gasp] like a reptile?\n\nGod: you aren’t a reptile.\n\nPlatypus: ok I understand.\n\nGod: you do?\n\nPlatypus: I have a reptile dysfunction : (,1456285849352609797,659
1456422901859635201,2021-11-05T00:47:33.000Z,786750255807225856,"- aardvarks/tenrecs/elephants/manatees (Afrotheria) and anteaters/tree sloths/armadillos (Xenarthra)\n- Overall, these animals make up all of the placental mammals, as opposed to marsupials and monotremes (platypus/echidna)\n- mammals are fucking cool",,2
1456421431529541638,2021-11-05T00:41:42.000Z,1398279095113326592,Lemon Demon vs Perry The Platypus https://t.co/QjoRx3DYTa,,0
1456420364968337413,2021-11-05T00:37:28.000Z,26168056,It’s happening!!!\n\nhttps://t.co/FmzoQKJyJ2,1456408497734651923,2
1456419670219792388,2021-11-05T00:34:43.000Z,1009721106092187649,God: you lay eggs.\n\nPlatypus: like a reptile?\n\nGod: yes but you aren’t a reptile.\n\nPlatypus: oh.\n\nGod: and you’re venomous. \n\nPlatypus: [happy gasp] like a reptile?\n\nGod: you aren’t a reptile.\n\nPlatypus: ok I understand.\n\nGod: you do?\n\nPlatypus: I have a reptile dysfunction : (,1456285849352609797,659
1456419622174011393,2021-11-05T00:34:31.000Z,21133543,"Hi, I'm a Baby platypus https://t.co/PazXBX0bek",1456297719673335808,1552
1456419082756976640,2021-11-05T00:32:22.000Z,15825889,"Hi, I'm a Baby platypus https://t.co/PazXBX0bek",1456297719673335808,1552
1456417827192197120,2021-11-05T00:27:23.000Z,35538290,Can you guys give me your expert opinion on this @thatsussieguy @aussie_momentum ?\n\nIs that a platypus hanging out of her wallaby pouch? https://t.co/bUm4RlgG4a,,0
1456417589475876865,2021-11-05T00:26:26.000Z,919543668641583105,her: you Must be a hyper realistic perry the platypus smoking on a Cigar if you think we fuccing\n\nMe: https://t.co/MXNZygZBTR,1428322199241379845,53092
1456417297694961673,2021-11-05T00:25:17.000Z,1205529311773679619,her: you Must be a hyper realistic perry the platypus smoking on a Cigar if you think we fuccing\n\nMe: https://t.co/MXNZygZBTR,1428322199241379845,53092
